"","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State","School"
"100",1933,508,243,112,8863,481,220,100,10796,989,463,212,46.8,47.83,45.74,4.29,5.43,"Private",47,513,3.72,210,47.62,"Yes",12.5711329539576,2.48222949339953,5.06445233504209,"NY","New York Medical College"
"101",937,246,223,124,3551,136,119,52,4488,382,342,176,89.5,90.65,87.5,7.62,3.83,"Public",30,510,3.76,175,29.71,"Yes",23.7993596584845,3.3511686848775,7.10180891993937,"OH","University of Toledo"
"102",1036,434,143,86,0,0,0,0,1036,434,143,86,32.9,32.95,47.7492,13.8,8.034,"Public",0,509,3.71,86,0,"No",13.8030888030888,2.9887953861647,14.3462531438031,"NC","East Carolina University"
"103",636,251,89,56,1797,67,24,16,2433,318,113,72,35.5,35.46,35.82,4.64,3.73,"Public",22,508,3.81,72,22.22,"No",13.9937106918239,1.3355592654424,10.4777908805031,"TN","East Tennessee State"
"104",38,25,9,7,8720,325,247,111,8758,350,256,118,73.1,36,76,2.92,3.73,"Private",94,505,3.53,120,92.5,"Yes",23.6842105263158,2.83256880733945,8.36138930321756,"DC","Howard University"
"105",2134,217,104,43,1617,105,50,22,3751,322,154,65,47.8,47.93,47.62,4.11,6.49,"Public",34,513,3.8,65,33.85,"Yes",4.87347703842549,3.09214594928881,1.5760824742268,"FL","Florida Atlantic University"
"107",209,146,95,69,1922,56,15,11,2131,202,110,80,54.5,65.07,26.79,5.16,2.91,"Public",14,502,3.7,79,13.92,"No",45.4545454545455,0.780437044745057,58.2424242424242,"WV","Marshall University"
"109",1205,217,147,82,4780,177,94,29,5985,394,241,111,61.2,67.74,53.11,4.03,3.7,"Public",26,512,3.79,107,27.1,"Yes",12.1991701244813,1.96652719665272,6.20340778670433,"NJ","Cooper (Rowan)"
"111",658,282,236,137,4738,329,289,113,5396,611,525,250,85.9,83.69,87.84,9.73,6.94,"Private",45,511,3.73,250,45.2,"No",35.8662613981763,6.09962009286619,5.88008119392939,"WI","Medical College of Wisconsin"
"114",1686,166,101,59,13219,484,328,116,14905,650,429,175,66,60.84,67.77,2.88,3.66,"Private",66,512,3.76,165,70.3,"Yes",5.99051008303677,2.48127694984492,2.41428514596534,"IL","Loyola University (Stritch)"
"125",141,118,46,43,370,138,59,35,511,256,105,78,41,38.98,42.75,20.55,37.3,"Public",45,507,3.8,77,45.45,"No",32.6241134751773,15.9459459459459,2.04591898064671,"ND","University of North Dakota"
"138",604,306,230,140,2107,13,11,8,2711,319,241,148,75.5,75.16,84.62,8.89,0.62,"Public",5,506,3.77,150,9.79939999999999,"No",38.0794701986755,0.522069292833413,72.9394942805539,"LO","LSU (Shreveport)"
"145",3331,521,215,97,671,25,12,3,4002,546,227,100,41.6,41.27,48,5.67,3.73,"Public",3,512,3.89,100,3,"No",6.4545181627139,1.78837555886736,3.60915140598419,"TX","Texas Tech (El Paso)"
"150",385,118,84,39,6833,287,213,56,7704,343,296,95,86.3,85.51,86.5,3.84,3.77,"Private",59,514,3.71,94,60.2,"Yes",21.8181818181818,3.11722523049905,6.99923175416133,"CT","Quinnipiac University"
"159",1180,441,376,269,7077,981,847,396,8257,1422,1223,665,86,85.26,86.34,14.81,13.86,"Private",60,501,3.65,665,59.55,"Yes",31.864406779661,11.9683481701286,2.66238969043283,"VA","VCOM"
"160",2535,668,505,293,15762,2280,832,413,18297,2948,1337,706,45.4,75.6,36.49,7.31,14.47,"Private",58,503,3.68,706,58.5,"Yes",19.9211045364891,5.27851795457429,3.77399578971325,"PA","LECOM"
