"","School","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State"
"46","UMass",979,449,212,112,3505,385,179,50,4484,834,391,162,46.9,47.22,46.49,8.72,10.98,"Public",31,516,3.82,162,30.86,"Yes",21.6547497446374,5.10699001426534,4.24021775726,"MA"
"47","University of Miami",2105,262,178,100,6674,348,182,104,8779,610,360,204,59,67.94,52.3,4.1,5.21,"Private",51,514,3.78,204,50.98,"Yes",8.45605700712589,2.72700029967036,3.10086398162408,"FL"
"48","Dartmouth (Geisel)",76,19,11,5,8283,655,246,87,8359,674,257,92,38.1,57.89,37.56,3.07,7.91,"Private",95,516,3.77,92,94.57,"Yes",14.4736842105263,2.96993842810576,4.87339537869063,"NH"
"49","Wake Forest",822,95,76,41,8427,381,212,104,9249,476,288,145,60.5,80,55.64,3.11,4.52,"Private",72,513,3.76,145,71.72,"Yes",9.24574209245742,2.51572327044025,3.67518248175182,"NC"
"50","UC Davis",4800,498,239,123,2228,20,8,4,7028,518,247,127,47.7,47.99,40,3.51,0.9,"Public",3,512,3.69,119,3.36,"No",4.97916666666667,0.359066427289048,13.8669791666667,"CA"
"51","USF (Morsani)",2297,453,240,119,3038,233,156,93,5335,686,396,212,57.7,52.98,66.95,7.42,7.67,"Public",44,516,3.8,180,53,NA,10.4484109708315,5.13495720868993,2.03476105957604,"FL"
"52","Georgetown University",70,13,6,6,14394,1016,384,197,14464,1029,390,203,37.9,46.15,37.8,2.7,7.06,"Private",97,513,3.79,200,98.5,"Yes",8.57142857142857,2.66777824093372,3.21294642857143,"DC"
"53","Tufts University",945,167,104,54,11069,654,398,146,12014,821,502,200,61.1,62.28,60.86,4.18,5.91,"Private",73,515,3.78,200,73,"Yes",11.005291005291,3.59562742795194,3.06074286777804,"MA"
"54","University of Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"55","Medical University of South Carolina",512,308,188,146,873,56,26,11,1385,364,214,157,58.8,61.04,46.43,15.45,6.41,"Public",7,510,3.83,171,6.43,NA,36.71875,2.97823596792669,12.3290264423077,"SC"
"56","McGovern (Houston)",4247,861,377,229,1123,41,22,11,5370,902,399,240,44.2,43.79,53.66,7.43,3.65,"Public",5,513,3.88,240,4.58,"No",8.87685425005886,1.95903829029386,4.53123060128005,"TX"
"57","George Washington",0,0,0,0,11772,1149,329,178,11772,1149,329,178,28.6,45.6944,28.63,2.79,9.89669999999999,"Private",100,513,3.78,180,98.89,"Yes",11.7529424353,2.79476724430853,4.78623515444236,"DC"
"58","Stony Brook University",2011,415,248,87,3156,342,161,49,5167,757,409,136,54,59.76,47.08,7.92,10.84,"Public",36,516,3.86,136,36.03,"Yes",12.3321730482347,5.10139416983523,2.41741230684651,"NY"
"59","Jefferson (Kimmel)",1102,173,110,93,8814,500,304,179,9916,673,414,272,61.5,63.58,60.8,4.18,5.67,"Private",66,514,3.8,270,66.3,"Yes",9.98185117967332,3.44905831631495,2.89408014136976,"PA"
