"School","USNWR Ranking Research","USNWR Primary Care Ranking","Apps IS","IS II","IS Accepted","IS enrolled","Apps OOS","OOS II","OOS Accepted","OOS enrolled","Total apps","TOTAL II","total accepted","Total enrolled","post II % A","IS % post II-A","OOS % post II-A","A % rate","Step 1","Step 1 % pass","step 2","step 2 pass","OOS II/OOS applicants","Public/Private","OOS/IS matriculants","Median MCAT","Median GPA","# international students matriculated","notes","class size","% of students OOS","apply OOS to public state school?","","","",""
"Louisville","75","74","513","313","199","119","4128","162","96","40","4641","475","295","159","62.1","63.58","59.26","6.36%","227","97%","244","99%","3.92","Public - KY","25%","509","3.77"," "," ","162","24.69%"," "," "," "," "," "
"MCG Augusta","75","91","1273","537","360","236","1495","47","14","4","2768","584","374","240","64.0","67.04","29.79","13.51%","225","100%","247","99%","3.14","Public - GA","2%","513","3.82"," "," ","230","1.74%"," "," "," "," "," "
"Missouri - Columbia","75","46","560","324","154","109","2509","82","40","19","3069","406","194","128","47.8","47.53","48.78","6.32%","234","95%","248","99%","3.27","Public - MO","15%","509","3.86"," "," ","112","16.96%"," "," "," "," "," "
"Texas A&M","75","84","4149","585","354","157","1009","82","31","18","5158","667","385","175","57.7","60.51","37.80","7.46%","232","97%","244","99%","8.13","Public - TX","10%","513","3.84"," "," ","126","14.29%"," "," "," "," "," "
"Kansas","75","9","515","379","212","186","2542","165","50","25","3057","544","262","211","48.2","55.94","30.30","8.57%","230","99%","243","99%","6.49","Public - KS","12%","511","3.88"," "," ","211","11.85%"," "," "," "," "," "
"Arkansas","75","39","338","324","190","160","690","84","18","8","1028","408","208","168","51.0","58.64","21.43","20.23%","224","90%","240","96%","12.17","Public - AK","5%","508","3.77"," "," ","168","4.76%"," "," "," "," "," "
"Buffalo","81","91","1969","475","277","159","2392","131","67","23","4361","606","344","182","56.8","58.32","51.15","7.89%","232","97%","244","98%","5.48","Public - NY","13%","512","3.75"," "," ","184","12.50%"," "," "," "," "," "
"New Mexico","81","28","239","210","109","90","1483","40","14","7","1722","250","123","97","49.2","51.90","35.00","7.14%","220","91%","240","96%","2.70","Public - NM","7%","505","3.8"," "," ","103","6.80%"," "," "," "," "," "
"Missouri - Kansas City","83","64","372","151","107","81","1226","278","99","46","1598","429","206","127","48.0","70.86","35.61","12.89%","226","98%","242","99%","22.68","Public-MO","36%","509","3.89"," "," ","127","36.22%"," "," "," "," "," "
"Virginia Tech","83"," ","737","61","27","12","3562","219","73","36","4299","280","100","48","35.7","44.26","33.33","2.33%","234","98%","248","100%","6.15","Public - VA","75%","512","3.57"," "," ","48","75.00%"," "," "," "," "," "
"West Virginia University","83","67","212","112","74","61","4841","499","91","51","5053","611","165","112","27.0","66.07","18.24","3.27%","234","99%","246","100%","10.31","Public - WV","46%","509","3.88"," "," ","112","45.54%","YES"," "," "," "," "
"Drexel","86"," ","962","416","233","74","10670","1209","589","193","11632","1625","822","267","50.6","56.01","48.72","7.07%","231","99%","243","97%","11.33","Private-PA","72%","512","3.75"," "," ","256","75.39%"," "," "," "," "," "
"UCF (Central Florida)","86"," ","2791","306","190","80","1887","155","116","40","4678","461","306","120","66.4","62.09","74.84","6.54%","253","97%","247","98%","8.21","Public - FL","33%","514","3.88"," "," ","120","33.33%","YES"," "," "," "," "
"Eastern Virginia Medical School (EVMS)","88","46","1071","347","161","81","5779","452","192","70","6850","799","353","151","44.2","46.40","42.48","5.15%","235","99%","245","99%","7.82","Public - VA","46%","513","3.71"," "," ","151","46.36%","YES"," "," "," "," "
